region,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,is_price_outlier,price_bin,distance_to_region_center,region_encoded,host_experience_level,price_per_review
Santa Clara County,814490943894699618,Private Room for 2 in San Jose,213645060,Ruan,San Jose,37.28179,-121.82385,Private room,53.0,1,6,2024-12-17,0.23,2,75,2,,False,Low,8.357246146218317,2,Intermediate,7.571428571428571
Santa Clara County,814898580490120859,Classic King Accessible at Hotel Valencia,496944100,RoomPicks,San Jose,37.32065,-121.94908,Hotel room,519.0,1,2,2023-07-08,0.1,15,276,0,,False,High,5.8950284405320135,2,Superhost,173.0
Santa Clara County,814898596397141531,"2 Rooms in Bustling Santana Row, Pool & Jacuzzi",496944100,RoomPicks,San Jose,37.32065,-121.94908,Hotel room,415.0,1,1,2023-11-19,0.06,15,271,0,,False,High,5.8950284405320135,2,Superhost,207.5
Santa Clara County,815573508318794714,La Escape (self-checkin/private entry/parking),262906173,Sunny,San Jose,37.35617517812434,-121.81104614786962,Entire home/apt,82.0,1,151,2025-02-28,5.88,6,361,71,,False,Low,6.959931754142244,2,Experienced,0.5394736842105263
Santa Clara County,816098712732008159,Perfect Silicon Valley location~Googl~4 bedroom,2899101,Christina,Mountain View,37.398839,-122.0594421,Entire home/apt,320.0,28,34,2024-12-15,1.34,71,48,10,,False,High,16.748593108448354,2,Superhost,9.142857142857142
Santa Clara County,816107880652093766,Luxury living in Palo Alto,759605,Cathy,Palo Alto,37.43395123009751,-122.14758061251962,Entire home/apt,540.0,30,4,2024-08-04,0.18,1,290,1,,False,High,25.462527336268757,2,Newbie,108.0
Santa Clara County,816737348584875837,DD Mountain View cozy home4BD/2BA,426136437,Anna,Mountain View,37.4041759195255,-122.0580330585216,Entire home/apt,220.0,1,8,2025-02-09,0.32,14,42,3,,False,High,16.882223848948176,2,Superhost,24.444444444444443
Santa Clara County,816907543592506545,D1 MVprivate bedroom queen bed,426136437,Anna,Mountain View,37.40445,-122.05965,Private room,53.0,1,78,2025-03-03,3.05,14,78,29,,False,Low,17.02447855298847,2,Superhost,0.6708860759493671
Santa Clara County,816914980481177526,D2 MVprivate bedroom queen bed,426136437,Anna,Mountain View,37.4030297261255,-122.05958857808632,Private room,53.0,1,82,2025-02-22,3.26,14,86,33,,False,Low,16.95220045995049,2,Superhost,0.6385542168674698
Santa Clara County,816924208573315774,D3 MountainView private bedroom,426136437,Anna,Mountain View,37.40306385282309,-122.05961765185695,Private room,53.0,1,80,2025-02-27,3.13,14,40,30,,False,Low,16.956136859264248,2,Superhost,0.654320987654321
Santa Clara County,816928703112187985,D4 MVprivate bedroom queen bed,426136437,Anna,Mountain View,37.40282656771933,-122.059846316469,Private room,53.0,1,56,2025-02-21,2.19,14,82,15,,False,Low,16.96334751095822,2,Superhost,0.9298245614035088
